Run ID,CIEMAS Lab Hallway Door,CIEMAS Elevator Button 1,CIEMAS Elevator Button 2,CIEMAS Elevator Button 3,CIEMAS Entry Door,Divinity Cafe Door,Chapel Door,West Union Door,Garden Terrace Bench,Wilson Gym,C1 Bus,BC Female Bathroom ,BC Male Bathroom,Perkins Printer,Medical Center Entrance,Marketplace,Brodie Gym
1,,,,,,,,,,,,,,,,,
2,0,0,0,0,0,0,0,1,0,,,,,,,,
3,0,0,0,0,0,0,0,0,5,,,,,,,,
4,0,0,0,0,0,1,0,0,1,,,,,,,,
5,0,0,0,0,0,0,0,0,1,,,,,,,,
6,0,0,0,0,0,0,0,0,141,0,,,,,,,
7,0,0,0,0,0,0,0,0,58,,,,,,,,
8,,,,,,,,,,,0,,,,,,
9,,,,,,,,,,,0,,,,,,
10,,,,,,,,,,,0,,,,,,
11,,,,,,1,0,0,1,0,,,,,,,
12,0,0,0,0,1,,,,,,,,,,,,
13,,,,,,0,0,0,4,1,,,,,,,
14,0,0,0,0,0,,,,,,,,,,,,
15,0,0,0,0,0,,,,,,,,,,,,
16,,,,,,,,,0,0,,,,,,,
17,,,,,,1,0,,,0,,1,0,,,,
18,,,,,,,,0,,,0,,,,,0,0
