Run ID,CIEMAS Lab Hallway Door,CIEMAS Elevator Button 1,CIEMAS Elevator Button 2,CIEMAS Elevator Button 3,CIEMAS Entry Door,Divinity Cafe Door,Chapel Door,West Union Door,Garden Terrace Bench,Wilson Gym,C1 Bus,BC Female Bathroom,BC Male Bathroom,Perkins Printer,Medical Center Entrance,Marketplace,Brodie Gym
1,,,,,,,,,,,,,,,,,
2,16,21,18,19,16,,15,15,20,,,,,,,,
3,2,2,2,1,14,10,4,3,12,,,,,,,,
4,1,2,0,1,0,37,3,0,7,,,,,,,,
5,5,1,1,0,3,4,,0,3,,,,,,,,
6,0,3,0,0,7,3,4,0,87,328,,,,,,,
7,0,0,0,0,2,1,3,2,325,,,,,,,,
8,,,,,,,,,,,0,,,,,,
9,,,,,,,,,,,1,,,,,,
10,,,,,,,,,,,2,,,,,,
11,,,,,,4,0,1,34,0,,,,,,,
12,0,0,0,0,22,,,,,,,,,,,,
13,,,,,,4,0,2,124,33,,,,,,,
14,0,1,0,0,7,,,,,,,,,,,,
15,3,2,1,3,0,,,,,,,,,,,,
16,,,,,,,,,13,0,,,,,,,
17,,,,,,1,0,,,1,,0,1,,,,
18,,,,,,,,6,,,0,,,,,0,1
