Isolate Tag	Date	Initials	Site #	"Original Growth Conditions (Media, Temperature, Antibiotic)"																							
																			
DR1	071417	"AW, YK"	3	"TS, 37C, CTX"																							
DR2	071417	"AW, YK"	2	"TS, 37C, CTX"																							
DR3	071417	"AW, YK"	5	"TS, 37C, CTX"																							
DR4	071417	"AW, YK"	1	"TS, 37C, CTX"																							
DR5	071417	"AW, YK"	1	"TS, 37C, CTX"																							
DR6	071417	"AW, YK"	9	"TS, RT, CTX"																							
DR7	071417	"AW, YK"	9	"TS, 37C, CTX"																							
DR8	071417	"AW, YK"	7	"TS, 37C, CTX"																							
DR9	071417	"AW, YK"	7	"TS, 37C, CTX"																							
DR10	071417	"AW, YK"	3	"TS, 37C, CTX"																							
DR11	071417	"AW, YK"	5	"TS, 37C, CTX"																							
DR12	071417	"AW, YK"	7	"TS, 37C, CTX"																							
DR13	071417	"AW, YK"	7	"TS, 37C, CTX"																							
DR14	071417	"AW, YK"	5	"TS, RT, CTX"																							
DR15	071417	"AW, YK"	8	"TS, RT, CTX"																							
DR16	071417	"AW, YK"	5	"TS, RT, CTX"																							
DR17	071417	"AW, YK"	8	"TS, 37C, CTX"																							
DR18	071417	"AW, YK"	9	"TS, RT, CTX"																							
DR19	071417	"AW, YK"	9	"TS, RT, CTX"																							
DR20	072717	"AW, YK"	6	"TS, 37C, CTX"																							
DR21	072717	"AW, YK"	5	"TS, 37C, CTX"																							
DR22	072717	"AW, YK"	7	"TS, 37C, CTX"																							
DR23	072717	"AW, YK"	8	"TS, 37C, CTX"																							
DR24	072717	"AW, YK"	9	"TS, 37C, CTX"																							
DR25	072717	"AW, YK"	4	"TS, 37C, CTX"																							
DR26	072717	"AW, YK"	9	"TS, 37C, CTX"																							
DR27	072717	"AW, YK"	2	"TS, 37C, CTX"																							
DR28	072717	"AW, YK"	9	"MAC, 37C, no ab"																							
DR29	072717	"AW, YK"	9	"MAC, 37C, no ab"																							
DR30	072717	"AW, YK"	2	"MAC, 37C, CTX"																							
DR31	072717	"AW, YK"	7	"TS, 37C, CTX"																							
DR32	072717	"AW, YK"	6	"TS, 37C, CTX"																							
DR33	072717	"AW, YK"	5	"TS, 37C, CTX"																							
DR34	071417	"AW, YK"	8	"MAC, 37C, no ab"																							
DR35	080217	"AW, YK"	9	"TS, 37C, CTX"																							
DR36	080217	"AW, YK"	9	"TS, 37C, CTX"																							
DR37	080217	"AW, YK"	2	"TS, 37C, CTX"																							
DR38	080217	"AW, YK"	1	"TS, 37C, CTX"																							
DR39	080217	"AW, YK"	4	"TS, 37C, CTX"																							
DR40	080217	"AW, YK"	9	"TS, 37C, CTX"																							
DR41	080217	"AW, YK"	7	"TS, 37C, CTX"																							
DR42	080217	"AW, YK"	9	"MAC, 37C, no ab"																							
DR43	080217	"AW, YK"	6	"TS, 37C, CTX"																							
DR44	080217	"AW, YK"	6	"TS, 37C, CTX"																							
DR45	080217	"AW, YK"	7	"TS, RT, CTX"																							
DR46	080217	"AW, YK"	7	"TS, RT, CTX"																							
DR47	080217	"AW, YK"	6	"TS, RT, CTX"																							
DR48	080217	"AW, YK"	6	"TS, RT, CTX"																							
DR49	080217	"AW, YK"	6	"TS, RT, CTX"																							
DR50	080217	"AW, YK"	6	"TS, RT, CTX"																							
DR51	080217	"AW, YK"	6	"TS, RT, CTX"																							
DR52	080217	"AW, YK"	6	"TS, RT, CTX"																							
DR53	080217	"AW, YK"	6	"TS, RT, CTX"																							
DR54	080217	"AW, YK"	6	"TS, RT, CTX"																							
DR55	080517	"AW, YK"	1	"TS, RT, CTX"																							
DR56	080517	"AW, YK"	6	"TS, RT, CTX"																							
DR57	080517	"AW, YK"	6	"TS, RT, CTX"																							
DR58	080517	"AW, YK"	5	"TS, RT, CTX"																							
DR59	080517	"AW, YK"	9	"TS, RT, CTX"																							
DR60	080517	"AW, YK"	9	"TS, RT, CTX"																							
DR61	080517	"AW, YK"	2	"TS, 37C, CTX"																							
DR62	080517	"AW, YK"	5	"TS, 37C, CTX"																							
DR63	072717	"AW, YK"	5	"TS, 37C, CTX"																							
DR64	080517	"AW, YK"	6	"TS, 37C, CTX"																							
DR65	080517	"AW, YK"	6	"TS, 37C, CTX"																							
DR66	080517	"AW, YK"	9	"TS, 37C, CTX"																							
