site_id, cfu, ctx
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,1,0
9,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,5,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,1,0
7,0,0
8,0,0
9,1,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,1,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,141,0
10,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,58,0
11,0,0
11,0,0
11,0,0
6,1,0
7,0,0
8,0,0
9,1,0
10,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,1,0
6,0,0
7,0,0
8,0,0
9,4,0
10,1,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
9,0,0
10,0,0
6,1,0
7,0,0
10,0,0
12,1,0
13,0,0
8,0,0
11,0,0
16,0,0
17,0,0
1,0,1
2,0,1
3,0,1
4,0,1
5,0,1
6,0,1
7,0,1
8,0,1
9,0,1
1,0,1
2,1,1
3,0,1
4,0,1
5,0,1
6,0,1
7,0,1
8,0,1
9,0,1
1,0,1
2,0,1
3,0,1
4,0,1
5,0,1
6,0,1
7,0,1
8,0,1
9,0,1
1,0,1
2,0,1
3,0,1
4,0,1
5,0,1
6,0,1
7,0,1
8,0,1
9,0,1
1,0,1
2,0,1
3,0,1
4,0,1
5,1,1
6,0,1
7,0,1
8,0,1
9,27,1
10,0,1
1,0,1
2,0,1
3,0,1
4,0,1
5,0,1
6,0,1
7,0,1
8,0,1
9,15,1
11,0,1
11,0,1
11,0,1
6,0,1
7,0,1
8,0,1
9,2,1
10,0,1
1,0,1
2,0,1
3,0,1
4,0,1
5,0,1
6,0,1
7,0,1
8,0,1
9,5,1
10,0,1
1,0,1
2,0,1
3,0,1
4,0,1
5,0,1
1,0,1
2,0,1
3,0,1
4,0,1
5,0,1
9,0,1
10,0,1
6,0,1
7,0,1
10,0,1
12,0,1
13,0,1
8,0,1
11,0,1
16,0,1
17,0,1
1,1,0
2,47,0
3,7,0
4,2,0
5,18,0
6,6,0
7,11,0
8,22,0
9,17,0
1,1,0
2,56,0
3,4,0
4,178,0
5,8,0
6,4,0
7,9,0
8,11,0
9,41,0
1,7,0
2,15,0
3,2,0
4,6,0
5,26,0
6,114,0
7,12,0
8,18,0
9,46,0
1,6,0
2,4,0
3,7,0
4,3,0
5,10,0
6,23,0
8,228,0
9,79,0
1,11,0
2,28,0
3,6,0
4,38,0
5,5,0
6,2,0
7,11,0
8,29,0
9,583,0
10,10,0
1,10,0
2,2,0
3,6,0
4,6,0
5,109,0
6,15,0
7,9,0
8,22,0
9,643,0
11,18,0
11,12,0
11,4,0
6,60,0
